Date,Open,High,Low,Close
11/02/2022,"11,300.27","11,410.91","10,903.48","10,906.34"
11/01/2022,"11,571.53","11,574.39","11,278.28","11,288.95"
10/31/2022,"11,465.21","11,482.99","11,331.26","11,405.57"
10/28/2022,"11,176.99","11,563.16","11,176.99","11,546.21"
10/27/2022,"11,387.71","11,417.04","11,179.90","11,191.63"
10/26/2022,"11,409.79","11,657.06","11,388.34","11,405.90"
10/25/2022,"11,482.87","11,681.85","11,480.41","11,669.99"
10/24/2022,"11,321.11","11,468.18","11,166.49","11,430.26"
10/21/2022,"10,998.17","11,327.77","10,962.01","11,310.33"
10/20/2022,"11,081.23","11,279.81","11,001.28","11,046.71"
10/19/2022,"11,081.82","11,231.46","11,008.11","11,103.38"
10/18/2022,"11,368.76","11,374.38","11,035.80","11,147.74"
10/17/2022,"10,967.25","11,090.87","10,959.75","11,062.53"
10/14/2022,"11,130.08","11,152.89","10,677.48","10,692.06"
10/13/2022,"10,481.58","11,087.66","10,440.64","11,033.58"
10/12/2022,"10,810.30","10,886.49","10,754.85","10,785.62"
10/11/2022,"10,865.32","10,981.91","10,716.33","10,791.35"
10/10/2022,"11,048.51","11,063.21","10,824.25","10,926.97"
10/07/2022,"11,272.46","11,293.65","10,991.66","11,039.47"
10/06/2022,"11,556.40","11,660.55","11,472.83","11,485.50"
10/05/2022,"11,429.47","11,647.62","11,312.52","11,573.18"
10/04/2022,"11,477.85","11,609.25","11,462.37","11,582.54"
10/03/2022,"11,059.17","11,296.43","10,985.01","11,229.73"
09/30/2022,"11,123.11","11,296.16","10,966.95","10,971.22"
09/29/2022,"11,334.57","11,339.91","11,038.94","11,164.78"
09/28/2022,"11,258.74","11,546.87","11,210.81","11,493.83"
09/27/2022,"11,411.34","11,502.38","11,175.29","11,271.75"
09/26/2022,"11,283.14","11,473.36","11,235.74","11,254.11"
09/23/2022,"11,398.75","11,402.41","11,169.66","11,311.24"
09/22/2022,"11,574.32","11,617.99","11,448.86","11,501.65"
09/21/2022,"11,892.72","12,062.52","11,636.25","11,637.79"
09/20/2022,"11,855.84","11,951.13","11,761.69","11,851.54"
09/19/2022,"11,753.60","11,956.79","11,752.43","11,953.27"
09/16/2022,"11,775.94","11,875.09","11,710.26","11,861.38"
09/15/2022,"12,034.43","12,153.34","11,867.88","11,927.49"
09/14/2022,"12,092.03","12,170.25","12,016.43","12,134.40"
09/13/2022,"12,364.83","12,420.01","12,004.42","12,033.62"
09/12/2022,"12,649.24","12,752.83","12,639.76","12,739.72"
09/09/2022,"12,424.15","12,610.43","12,424.15","12,588.29"
09/08/2022,"12,139.57","12,374.13","12,120.26","12,321.19"
09/07/2022,"12,038.18","12,298.12","12,026.98","12,259.39"
09/06/2022,"12,106.57","12,152.42","11,928.81","12,011.31"
09/02/2022,"12,392.46","12,451.28","12,035.53","12,098.44"
09/01/2022,"12,158.88","12,290.33","12,012.98","12,274.62"
08/31/2022,"12,448.07","12,502.15","12,268.08","12,272.03"
08/30/2022,"12,562.40","12,572.88","12,240.82","12,342.70"
08/29/2022,"12,488.46","12,594.34","12,440.40","12,484.32"
08/26/2022,"13,129.91","13,175.25","12,603.41","12,605.17"
08/25/2022,"12,984.74","13,146.84","12,951.61","13,143.58"
08/24/2022,"12,876.23","12,995.14","12,843.58","12,917.86"
08/23/2022,"12,885.28","13,000.71","12,852.70","12,881.79"
08/22/2022,"13,056.39","13,073.07","12,859.82","12,890.54"
08/19/2022,"13,370.25","13,402.61","13,210.82","13,242.90"
08/18/2022,"13,474.24","13,553.28","13,405.74","13,505.99"
08/17/2022,"13,499.24","13,591.58","13,389.82","13,470.86"
08/16/2022,"13,617.66","13,720.91","13,508.47","13,635.21"
08/15/2022,"13,529.66","13,685.65","13,524.53","13,667.18"
08/12/2022,"13,384.65","13,565.87","13,341.65","13,565.87"
08/11/2022,"13,471.03","13,555.38","13,271.35","13,291.99"
08/10/2022,"13,330.66","13,386.85","13,220.05","13,378.32"
08/09/2022,"13,064.24","13,095.70","12,945.60","13,008.17"
08/08/2022,"13,227.09","13,394.54","13,103.80","13,159.16"
08/05/2022,"13,107.45","13,286.02","13,070.36","13,207.69"
08/04/2022,"13,253.77","13,326.72","13,170.44","13,311.04"
08/03/2022,"12,983.58","13,289.19","12,974.85","13,253.26"
08/02/2022,"12,853.04","13,073.27","12,809.01","12,901.60"
08/01/2022,"12,877.04","13,084.61","12,833.16","12,940.78"
07/29/2022,"12,784.20","12,986.64","12,726.25","12,947.97"
07/28/2022,"12,580.62","12,741.83","12,433.55","12,717.87"
07/27/2022,"12,299.34","12,660.77","12,256.94","12,601.47"
07/26/2022,"12,248.21","12,259.01","12,051.21","12,086.90"
07/25/2022,"12,391.21","12,415.59","12,244.40","12,328.41"
07/22/2022,"12,575.76","12,662.86","12,322.82","12,396.47"
07/21/2022,"12,466.13","12,620.50","12,351.42","12,619.41"
07/20/2022,"12,269.07","12,488.39","12,232.20","12,439.68"
07/19/2022,"12,046.69","12,258.37","11,967.92","12,249.42"
07/18/2022,"12,089.68","12,156.09","11,836.52","11,877.50"
07/15/2022,"11,896.15","11,987.52","11,828.13","11,983.62"
07/14/2022,"11,637.18","11,801.11","11,488.27","11,768.40"
07/13/2022,"11,523.91","11,819.69","11,498.96","11,728.53"
07/12/2022,"11,926.84","11,990.44","11,684.02","11,744.99"
07/11/2022,"12,008.76","12,026.06","11,830.89","11,860.28"
07/08/2022,"11,977.96","12,179.32","11,956.03","12,125.69"
07/07/2022,"11,913.73","12,137.71","11,897.51","12,109.05"
